Experience_ID,Title,City,Type,Base_Price_EUR,Duration_Hours,Main_Features,Supported_Languages,Avg_Rating,Review_Count
EXP000001,Kayaking Adventure in Malaga,Malaga,Kayaking,75.36,4.6,"Free cancellation, Multi-language guide, Instant confirmation, Private group","en,de",4.47,4964
EXP000002,Local Market Tour in Granada,Granada,Local Market Tour,222.15,5.6,"Free cancellation, Skip-the-line, Private group","en,de",5.0,6132
EXP000003,Flamenco Show in Cordoba,Cordoba,Flamenco Show,113.82,4.2,"Instant confirmation, Multi-language guide","en,de",3.69,2226
EXP000004,Visit the Museum of Granada,Granada,Museum Ticket,62.81,2.9,"Multi-language guide, Instant confirmation","en,de",4.23,3336
EXP000005,Adventure Park Experience in Zaragoza,Zaragoza,Adventure Park,112.14,7.6,"Wheelchair accessible, Private group","en,de",4.26,656
EXP000006,Visit the Museum of Cordoba,Cordoba,Museum Ticket,182.22,3.1,"Instant confirmation, Wheelchair accessible","en,de",4.1,1102
EXP000007,Cooking Class in Madrid,Madrid,Cooking Class,85.91,7.7,"Skip-the-line, Free cancellation, Multi-language guide, Instant confirmation","en,es",4.28,4835
EXP000008,Flamenco Show in Barcelona,Barcelona,Flamenco Show,109.48,4.6,"Free cancellation, Instant confirmation, Multi-language guide","en,es",4.55,2004
EXP000009,Adventure Park Experience in Malaga,Malaga,Adventure Park,218.74,5.7,"Multi-language guide, Skip-the-line, Private group, Wheelchair accessible","en,de",4.13,226
EXP000010,Kayaking Adventure in Cordoba,Cordoba,Kayaking,245.17,2.3,"Skip-the-line, Free cancellation, Wheelchair accessible","en,de",4.65,3080
EXP000011,Adventure Park Experience in San Sebastian,San Sebastian,Adventure Park,26.0,3.8,"Wheelchair accessible, Multi-language guide, Instant confirmation, Free cancellation","en,de",3.41,3153
EXP000012,Flamenco Show in Valencia,Valencia,Flamenco Show,172.17,1.8,"Private group, Instant confirmation, Skip-the-line","en,de",3.62,178
EXP000013,Wine Tasting in Santiago,Santiago,Wine Tasting,162.03,6.4,"Wheelchair accessible, Free cancellation","en,de",5.0,5697
EXP000014,Flamenco Show in Cordoba,Cordoba,Flamenco Show,169.59,3.2,"Private group, Instant confirmation","en,de",4.27,3206
EXP000015,Local Market Tour in Cordoba,Cordoba,Local Market Tour,186.48,6.3,"Free cancellation, Multi-language guide","en,de",4.57,567
EXP000016,Wine Tasting in Cordoba,Cordoba,Wine Tasting,56.95,4.5,"Wheelchair accessible, Free cancellation","en,de",4.41,1633
EXP000017,Visit the Museum of Seville,Seville,Museum Ticket,50.61,2.1,"Private group, Wheelchair accessible","en,de",4.06,527
EXP000018,Cooking Class in San Sebastian,San Sebastian,Cooking Class,249.93,2.8,"Wheelchair accessible, Free cancellation, Instant confirmation","en,de",4.22,5734
EXP000019,Guided Tour in Ibiza,Ibiza,Guided Tour,241.89,3.4,"Private group, Multi-language guide, Wheelchair accessible","en,de",4.78,1679
EXP000020,Local Market Tour in Barcelona,Barcelona,Local Market Tour,140.17,1.3,"Private group, Free cancellation, Multi-language guide","en,es",4.22,4328
EXP000021,Guided Tour in Ibiza,Ibiza,Guided Tour,16.4,1.6,"Free cancellation, Skip-the-line","en,de",4.71,1652
EXP000022,Hiking Trail in Granada,Granada,Hiking,28.2,5.3,"Instant confirmation, Wheelchair accessible, Skip-the-line, Private group","en,de",4.65,2710
EXP000023,Architecture Walk through Madrid,Madrid,Architecture Walk,195.72,3.3,"Wheelchair accessible, Free cancellation, Multi-language guide, Private group","en,es",4.74,3600
EXP000024,Flamenco Show in San Sebastian,San Sebastian,Flamenco Show,98.54,6.6,"Free cancellation, Private group, Multi-language guide","en,de",4.53,5154
EXP000025,Local Market Tour in Cordoba,Cordoba,Local Market Tour,89.73,7.9,"Free cancellation, Instant confirmation, Multi-language guide","en,de",4.55,1597
EXP000026,Guided Tour in Ibiza,Ibiza,Guided Tour,65.32,7.3,"Skip-the-line, Free cancellation, Wheelchair accessible, Instant confirmation","en,de",3.74,5803
EXP000027,Flamenco Show in San Sebastian,San Sebastian,Flamenco Show,194.14,3.2,"Wheelchair accessible, Multi-language guide, Private group","en,de",4.65,3447
EXP000028,Adventure Park Experience in Valencia,Valencia,Adventure Park,26.24,7.6,"Multi-language guide, Free cancellation, Wheelchair accessible, Skip-the-line","en,de",3.82,1524
EXP000029,Wine Tasting in Cordoba,Cordoba,Wine Tasting,36.38,8.0,"Private group, Free cancellation, Instant confirmation, Skip-the-line","en,de",4.92,7453
EXP000030,Visit the Museum of Alicante,Alicante,Museum Ticket,197.89,6.3,"Free cancellation, Private group, Wheelchair accessible, Instant confirmation","en,de",4.81,4041
EXP000031,Kayaking Adventure in Santiago,Santiago,Kayaking,149.93,4.1,"Skip-the-line, Instant confirmation, Private group","en,de",4.54,677
EXP000032,Adventure Park Experience in Palma,Palma,Adventure Park,17.97,5.6,"Free cancellation, Instant confirmation, Multi-language guide","en,de",4.75,5741
